time,seconds_elapsed,rssi,id,advertisement,manufacturerData,serviceData
1780766619078000000,15.045000244140626,-73,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766619656000000,15.623,-76,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766619839000000,15.806,-86,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7053ec1c362ae77,
1780766620041000000,16.008,-80,32cd4dcd-9aa7-aa0e-0e61-75bc433ab329,,,fcf1:0410c0eb4dec91474b98354140282ecf8ef5f38dff
1780766620174000000,16.141000244140624,-80,11695c04-1dc1-4df4-2059-10a3322bb6a3,,,
1780766620207000000,16.174,-70,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766620276000000,16.243,-87,e2e4ef5d-954f-eafb-420b-b785beaee4fc,,,fef3:4a17234e4b4f46113242c01c956bbddbc8d191360892a275991fab
1780766620357000000,16.324,-83,20db88a6-fecb-2a60-8df3-b6c885227e9a,,,
1780766620392000000,16.359,-62,ed520cc5-283c-6189-ef60-5650a352ee3a,,,fcf1:045d4150f20296eef2dd4c5f3e35a461e102aaab3317
1780766620421000000,16.388,-59,c341a55c-66ff-5bde-cd27-c4af02b09dca,,99040510ef52fdbd81002c000404009cf6a3b57fd4155c775668,
1780766620774000000,16.741000244140626,-73,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766620889000000,16.856,-74,c2b4671c-7407-ff10-25ac-3228f29e0d10,,,
1780766620930000000,16.896999755859376,-84,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7053ec1c362ae77,
1780766621474000000,17.440999755859377,-67,32cd4dcd-9aa7-aa0e-0e61-75bc433ab329,,,fcf1:0410c0eb4dec91474b98354140282ecf8ef5f38dff
1780766621495000000,17.462,-77,11695c04-1dc1-4df4-2059-10a3322bb6a3,,,
1780766621540000000,17.507,-61,ed520cc5-283c-6189-ef60-5650a352ee3a,,,fcf1:045d4150f20296eef2dd4c5f3e35a461e102aaab3317
1780766621717000000,17.684,-63,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766621895000000,17.862,-55,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766622032000000,17.999,-77,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7053ec1c362ae77,
1780766622339000000,18.306,-75,e2e4ef5d-954f-eafb-420b-b785beaee4fc,,,fef3:4a17234e4b4f46113242c01c956bbddbc8d191360892a275991fab
1780766622365000000,18.332,-77,20db88a6-fecb-2a60-8df3-b6c885227e9a,,,
1780766622446000000,18.413000244140626,-81,fabfdb62-a618-a0ea-7b1d-2b3b5f9114e9,,4f090100bd6cfcfffeff010021176b819b000064,
1780766622614000000,18.581000244140625,-69,d7a1c0db-d451-d6a0-3cb7-bd340ebd26e0,,4f0901009264fefffeff0600008019809b000048,
1780766622622000000,18.589000244140625,-56,32cd4dcd-9aa7-aa0e-0e61-75bc433ab329,,,fcf1:0410c0eb4dec91474b98354140282ecf8ef5f38dff
1780766622682000000,18.648999755859375,-55,ed520cc5-283c-6189-ef60-5650a352ee3a,,,fcf1:045d4150f20296eef2dd4c5f3e35a461e102aaab3317
1780766622857000000,18.824,-65,11695c04-1dc1-4df4-2059-10a3322bb6a3,,,
1780766623043000000,19.01,-65,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766623213000000,19.18,-59,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766623373000000,19.34,-78,e2e4ef5d-954f-eafb-420b-b785beaee4fc,,,fef3:4a17234e4b4f46113242c01c956bbddbc8d191360892a275991fab
1780766623693000000,19.66,-63,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7053ec1c362ae77,
1780766623752000000,19.719,-48,32cd4dcd-9aa7-aa0e-0e61-75bc433ab329,,,fcf1:0410c0eb4dec91474b98354140282ecf8ef5f38dff
1780766623975000000,19.942,-48,11695c04-1dc1-4df4-2059-10a3322bb6a3,,,
1780766624115000000,20.082,-52,ed520cc5-283c-6189-ef60-5650a352ee3a,,,fcf1:045d4150f20296eef2dd4c5f3e35a461e102aaab3317
1780766624155000000,20.122,-54,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766624221000000,20.188,-61,17456af3-1abc-b70d-4363-2579d4c23609,,6cd17a8169c9,
1780766624340000000,20.307,-47,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766624365000000,20.332,-75,20db88a6-fecb-2a60-8df3-b6c885227e9a,,,
1780766624412000000,20.379,-67,e2e4ef5d-954f-eafb-420b-b785beaee4fc,,,fef3:4a17234e4b4f46113242c01c956bbddbc8d191360892a275991fab
1780766624703000000,20.67,-97,9e68c8d3-1bdd-3179-0553-4e699ad35cda,,,
1780766624789000000,20.756,-65,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7053ec1c362ae77,
1780766624901000000,20.868,-47,c2b4671c-7407-ff10-25ac-3228f29e0d10,,,
